paper_id,claim_id,table_figure,claim,claim_type,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
coppock_green_porter_2022,abs_adjusted_est,Abstract,"Covariate-adjusted effect on Democratic vote share, percentage points",pipeline,-0.04433232858292829,-0.04,1,-0.04433232858292829,1,NA,NA,NA
coppock_green_porter_2022,abs_adjusted_se,Abstract,"Standard error of the covariate-adjusted effect, percentage points",pipeline,0.8475969259392859,0.85,1,0.8475969259392859,1,NA,NA,NA
coppock_green_porter_2022,app_a_small_insignificant,Appendix A,Effects on vote margin and turnout are small and statistically insignificant,descriptive,NA,NA,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_c_dim_none_below,Appendix C,No difference-in-means equivalence p-value is smaller than 0.05,descriptive,NA,0.05,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_c_ols_01_total_only,Appendix C,Under the 0.1 SD tolerance only the OLS estimate on vote total can be affirmed equivalent,descriptive,NA,NA,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_c_ols_02_all,Appendix C,All three outcomes can be affirmed equivalent at p < 0.05 under the 0.2 SD tolerance using the covariate-adjusted models,descriptive,NA,0.05,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_d_all_zips,Appendix D,"ZIP codes in the experiment, restated in the map section",pipeline,NA,210,NA,210,1,NA,NA,NA
coppock_green_porter_2022,app_e_coefs_nonsig,Appendix E,Each individual balance coefficient is nonsignificant,descriptive,NA,NA,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_e_joint_p,Appendix E,"Joint significance test p-value, precinct-level balance",pipeline,0.3335685705573611,0.33,1,0.3335685705573611,1,NA,NA,NA
coppock_green_porter_2022,app_f_small_effects,Appendix F.1,ZIP-level analysis returns very small effects that cannot be distinguished from zero,descriptive,NA,NA,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,app_f_zips,Appendix F,"ZIP codes block-randomized, restated in the aggregation section",pipeline,NA,210,NA,210,1,NA,NA,NA
coppock_green_porter_2022,app_f8_joint_p,Appendix F.1,"Joint significance test p-value, ZIP-level balance",pipeline,0.3284604392860449,0.328,1,0.3284604392860449,1,NA,NA,NA
coppock_green_porter_2022,app_g_pate_center,Appendix G,Centre of the distribution simulated treatment effects are drawn from,definitional,NA,0.01,NA,0.01,1,NA,NA,NA
coppock_green_porter_2022,app_g_pate_sd,Appendix G,Standard deviation of the distribution simulated treatment effects are drawn from,definitional,NA,0.005,NA,0.005,1,NA,NA,NA
coppock_green_porter_2022,app_g_power_combined,Appendix G,"Power of the Bayesian posterior estimator, per cent, as stated in the appendix",pipeline,89,89.3,0,88.66000000000001,0,NA,archive,NA
coppock_green_porter_2022,app_g_power_own,Appendix G,"Power of the study on its own, per cent, as stated in the appendix",pipeline,23,21.0,0,20.719999999999978,0,NA,archive,NA
coppock_green_porter_2022,bayes_all_insignificant,Bayesian integration,Each of the four studies returned a statistically insignificant result,descriptive,NA,NA,NA,NA,NA,TRUE,NA,NA
coppock_green_porter_2022,bayes_final_mean,Bayesian integration,"Posterior mean after all four studies, percentage points",pipeline,0.7083640865164079,0.7,1,0.7083640865164079,1,NA,NA,NA
coppock_green_porter_2022,bayes_final_sd,Bayesian integration,"Posterior standard deviation after all four studies, percentage points",pipeline,0.44961730846587294,0.4,1,0.44961730846587294,1,NA,NA,NA
coppock_green_porter_2022,bayes_panel4_mean,Bayesian integration,"Posterior mean after the first three studies, percentage points",pipeline,1.003100201576892,1.0,1,1.003100201576892,1,NA,NA,NA
coppock_green_porter_2022,bayes_panel4_sd,Bayesian integration,"Posterior standard deviation after the first three studies, percentage points",pipeline,NA,0.5,NA,0.53039097610428,1,NA,NA,NA
coppock_green_porter_2022,bayes_prior_sd_pp,Bayesian integration,"Prior standard deviation stated in the text, percentage points",definitional,NA,5,NA,5,1,NA,NA,NA
coppock_green_porter_2022,design_control_zips,Field experiment: Florida advertisements,ZIP codes assigned to control,pipeline,NA,104,NA,104,1,NA,NA,NA
coppock_green_porter_2022,design_precincts,Field experiment: Florida advertisements,Voting precincts in the analysis sample,pipeline,NA,853,NA,853,1,NA,NA,NA
coppock_green_porter_2022,design_precincts_per_zip_high,Field experiment: Florida advertisements,Upper end of the stated typical number of voting precincts per ZIP code,descriptive,NA,20,NA,6.485207100591716,NA,NA,archive,NA
coppock_green_porter_2022,design_precincts_per_zip_low,Field experiment: Florida advertisements,Lower end of the stated typical number of voting precincts per ZIP code,descriptive,NA,10,NA,6.485207100591716,NA,NA,archive,NA
coppock_green_porter_2022,design_treatment_zips,Field experiment: Florida advertisements,ZIP codes assigned to each advertisement condition,pipeline,NA,53,NA,53,1,NA,NA,NA
coppock_green_porter_2022,design_zip_codes,Field experiment: Florida advertisements,ZIP codes randomized,pipeline,NA,210,NA,210,1,NA,NA,NA
coppock_green_porter_2022,design_zips_analysis,Field experiment: Florida advertisements,ZIP codes in the analysis sample,pipeline,NA,154,NA,154,1,NA,NA,NA
coppock_green_porter_2022,disc_cost_per_vote,Discussion,"Implied cost per vote, dollars",pipeline,8.681337780261797,8.68,1,8.681337780261797,1,NA,NA,NA
coppock_green_porter_2022,disc_posterior_mean,Discussion,"Mean of the final Bayesian posterior restated in the discussion, percentage points",pipeline,0.7083640865164079,0.7,1,0.7083640865164079,1,NA,NA,NA
coppock_green_porter_2022,disc_skip_ratio,Discussion,Viewers who skipped after three seconds for every viewer who watched an ad through,descriptive,NA,10,NA,9.570429045143452,NA,TRUE,NA,NA
coppock_green_porter_2022,f1_bg_post_mu,Figure 1,Posterior mean after Broockman and Green (2014),pipeline,0.01483679525222552,0.015,1,0.01483679525222552,1,NA,NA,NA
coppock_green_porter_2022,f1_bg_post_sd,Figure 1,Posterior standard deviation after Broockman and Green (2014),pipeline,0.01348149627599854,0.013,1,0.01348149627599854,1,NA,NA,NA
coppock_green_porter_2022,f1_hag_post_mu,Figure 1,Posterior mean after Hager (2019),pipeline,0.01003100201576892,0.010,1,0.01003100201576892,1,NA,NA,NA
coppock_green_porter_2022,f1_hag_post_sd,Figure 1,Posterior standard deviation after Hager (2019),pipeline,0.0053039097610428,0.005,1,0.0053039097610428,1,NA,NA,NA
coppock_green_porter_2022,f1_pres_est,Figure 1,The present study's estimate on the panel face,pipeline,-4.4332328582928296e-4,-0.000,1,-4.4332328582928296e-4,1,NA,NA,NA
coppock_green_porter_2022,f1_pres_post_mu,Figure 1,Posterior mean after the present study,pipeline,0.00708364086516408,0.007,1,0.00708364086516408,1,NA,NA,NA
coppock_green_porter_2022,f1_pres_post_sd,Figure 1,Posterior standard deviation after the present study,pipeline,0.00449617308465873,0.004,1,0.00449617308465873,1,NA,NA,NA
coppock_green_porter_2022,f1_pres_se,Figure 1,The present study's standard error on the panel face,pipeline,0.0085,0.009,1,0.00847596925939286,0,NA,archive,NA
coppock_green_porter_2022,f1_prior_mu,Figure 1,Prior mean,definitional,0,0.000,1,0,1,NA,NA,NA
coppock_green_porter_2022,f1_prior_sd,Figure 1,Prior standard deviation,definitional,0.05,0.050,1,0.05,1,NA,NA,NA
coppock_green_porter_2022,f1_tur_post_mu,Figure 1,Posterior mean after Turitto et al. (2014),pipeline,0.01371702077982722,0.014,1,0.01371702077982722,1,NA,NA,NA
coppock_green_porter_2022,f1_tur_post_sd,Figure 1,Posterior standard deviation after Turitto et al. (2014),pipeline,0.01134488933950494,0.011,1,0.01134488933950494,1,NA,NA,NA
coppock_green_porter_2022,fg2_ols_pate_label,Figure G.2,PATE named in the left panel annotation,pipeline,NA,0.1,NA,0.01,0,NA,archive,NA
coppock_green_porter_2022,fg2_ols_power,Figure G.2,Power printed in the left panel,pipeline,0.23,0.210,0,0.20719999999999977,0,NA,archive,NA
coppock_green_porter_2022,fg2_post_pate_label,Figure G.2,PATE named in the right panel annotation,pipeline,NA,0.1,NA,0.01,0,NA,archive,NA
