model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),-72.1611374407583,37.746454905090765,-1.9117328401355675,0.06178079465553945,-148.0198199425253,3.6975450610086966,48.88938392029654,dem_two_party_vote_margin_2018
Model 1,Z,47.14504548673529,56.74410432699257,0.830836014523343,0.4080655521911767,-65.44757566904809,159.7376666425187,98.99947065155438,dem_two_party_vote_margin_2018
Model 2,(Intercept),88.2823654307877,17.701542157245612,4.987269733143103,6.8621268586874525e-6,52.78283024401402,123.78190061756139,53.33869234612793,dem_two_party_vote_margin_2018
Model 2,Z,6.537417274466778,18.696919358225678,0.34965210841488986,0.7274197975138227,-30.609226291929488,43.68406084086304,89.65456675155973,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2016_nona,0.7329485818060855,0.039719456908503675,18.453137048033653,6.996786890032182e-24,0.6531570841981102,0.8127400794140607,49.68283697981674,dem_two_party_vote_margin_2018
Model 2,vote_2016_missingTRUE,-66.23274053506735,70.1974117208774,-0.9435211201009152,0.369299700793724,-224.27363927598134,91.80815820584662,9.291696726927215,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2014_nona,0.06673658067734319,0.03910459198091881,1.706617491621124,0.10085647068358267,-0.01398949799882332,0.1474626593535097,23.89836475086722,dem_two_party_vote_margin_2018
Model 2,vote_2014_missingTRUE,10.765701337657005,20.481467739691073,0.5256313402185593,0.6009476118844658,-30.14494757210081,51.676350247414824,64.47350725776413,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2012_nona,0.025614245619636364,0.05485937956226283,0.4669073151030699,0.6438182885758575,-0.08625411249465909,0.1374826037339318,31.12413634512027,dem_two_party_vote_margin_2018
Model 2,vote_2012_missingTRUE,33.90085657745437,17.925640372766143,1.8911936127514233,0.06232643065151828,-1.7886521513054703,69.59036530621421,77.68214739255976,dem_two_party_vote_margin_2018
Model 3,(Intercept),-72.16113744075834,37.7464549050908,-1.9117328401355669,0.06178079465553954,-148.01981994252543,3.6975450610087393,48.88938392029656,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_1,18.066542846163774,53.36957704512563,0.3385176320750669,0.7363704940423226,-89.0916442031973,125.22472989552485,50.721412644927454,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_2,77.45221725296497,84.914914470095,0.9121155893084223,0.36617663148643187,-93.193510650099,248.09794515602894,48.9680247808665,dem_two_party_vote_margin_2018
Model 4,(Intercept),89.62233220715076,17.50940958741884,5.11852394335145,4.359050111234203e-6,54.50384296424046,124.74082145006106,53.06077051652961,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_1,-14.522192596932932,21.94449045561022,-0.6617694143461079,0.5111537684406036,-58.597651012951836,29.553265819085972,50.06178798114071,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_2,26.70337066473266,22.812228286102034,1.1705726564643069,0.2473747339549409,-19.127686935022673,72.53442826448799,49.50524383230585,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2016_nona,0.7344357593070239,0.039361695761248,18.658641227293963,5.5529578262697384e-24,0.6553465638304101,0.8135249547836376,49.27323723648472,dem_two_party_vote_margin_2018
Model 4,vote_2016_missingTRUE,-60.47043171157949,65.57817505119627,-0.9221121457614638,0.379766242874638,-208.08829412752755,87.14743070436856,9.301715979099901,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2014_nona,0.06515851443584238,0.038643575276088964,1.6861409424546634,0.10486573968953414,-0.014643119144490055,0.1449601480161748,23.7457562596355,dem_two_party_vote_margin_2018
Model 4,vote_2014_missingTRUE,15.15327942993692,20.692148413085153,0.7323202563323196,0.4666545116479174,-26.186401319262504,56.49296017913635,63.810671253081864,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2012_nona,0.02180547792195974,0.05591916995284426,0.3899463804693087,0.699191325405236,-0.09215312719604679,0.1357640830399663,31.61110123817741,dem_two_party_vote_margin_2018
Model 4,vote_2012_missingTRUE,29.43146612923162,18.36868483331929,1.60226311226405,0.11315342491967993,-7.139729204660316,66.00266146312356,77.73644346775778,dem_two_party_vote_margin_2018
