model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),0.4805410733673358,0.022847531195226246,21.032516347662977,1.7547179888708336e-20,0.43402834091991305,0.5270538058147586,32.46566986045053,dem_two_party_share_2018
Model 1,Z,0.004241025457446642,0.021710488588259184,0.19534454234899837,0.8455664186517522,-0.038894458172241436,0.04737650908713471,89.4204653510737,dem_two_party_share_2018
Model 1,cd_jumble15_16,0.05387505940241991,0.04798051420948084,1.1228528974742487,0.3678842517459461,-0.13363084280850163,0.24138096161334144,2.2273902735745845,dem_two_party_share_2018
Model 1,cd_jumble16,-0.036595318089640484,0.025148776558957496,-1.455153017239161,0.15095796898441888,-0.08692405440841233,0.01373341822913137,58.6573908110011,dem_two_party_share_2018
Model 1,cd_jumble26,0.05284323994899353,0.04010965144458326,1.317469438047932,0.19755885068634224,-0.029038180120740616,0.13472466001872768,30.294829696072554,dem_two_party_share_2018
Model 1,cd_jumble26_27,-0.013357212077461359,0.06140574678681616,-0.21752381131091722,0.8347140804271378,-0.16209244217662108,0.13537801802169838,6.26353555210738,dem_two_party_share_2018
Model 1,cd_jumble27,0.03736887633458764,0.03367043498525872,1.1098423988566863,0.27394213139027046,-0.030761395056314554,0.10549914772548982,38.550683907446306,dem_two_party_share_2018
Model 1,cd_jumble27_26,0.048361764229156126,0.04375036519139163,1.1054025267581502,0.3015905529074965,-0.05279552224851845,0.1495190507068307,7.8796875266869995,dem_two_party_share_2018
Model 2,(Intercept),0.008269258544252407,0.012285174632946995,0.6731087502879688,0.507535505620622,-0.01713395397700932,0.03367247106551414,23.174880162656265,dem_two_party_share_2018
Model 2,Z,-0.001799003615350112,0.00882331010534093,-0.20389214409013443,0.8389317633548521,-0.019345550005592158,0.015747542774891935,83.86044531422102,dem_two_party_share_2018
Model 2,dem_two_party_share_2016_nona,0.860576131168245,0.06504962510864067,13.229532525836696,2.3150590369032855e-15,0.7286311147136462,0.9925211476228439,35.85707020968506,dem_two_party_share_2018
Model 2,vote_2016_missingTRUE,85.5648171402089,6.470946535628647,13.222921356109822,2.2957865160387496e-15,72.439929487171,98.6897047932468,35.905470622025874,dem_two_party_share_2018
