model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),-126.10056153099748,64.61943751560888,-1.9514339087296726,0.05967099451738974,-257.64788342155884,5.446760359563854,32.492270531287204,dem_two_party_vote_margin_2018
Model 1,Z,51.94003608999533,55.15257829619377,0.9417517311893261,0.3488534858703909,-57.63773512498152,161.51780730497217,89.54724116217673,dem_two_party_vote_margin_2018
Model 1,cd_jumble15_16,152.28694565139986,122.28817143494655,1.245312149690714,0.3280172219104006,-325.6157419868656,630.1896332896654,2.227359587028605,dem_two_party_vote_margin_2018
Model 1,cd_jumble16,-85.21774808247584,81.75409593099421,-1.0423667109523806,0.3015187588528576,-248.82721976664982,78.39172360169816,58.65894241705253,dem_two_party_vote_margin_2018
Model 1,cd_jumble26,146.52210542209346,96.55514261421762,1.517496649634882,0.13950869290467505,-50.589453881733874,343.63366472592077,30.294483802393707,dem_two_party_vote_margin_2018
Model 1,cd_jumble26_27,-5.68427132881463,157.0392915128868,-0.0361964911714351,0.9722518625454228,-386.06053451492994,374.69199185730065,6.263520031497588,dem_two_party_vote_margin_2018
Model 1,cd_jumble27,136.78267291608825,81.12805543529639,1.6860095090677867,0.09973744981783889,-27.28657055111961,300.8519163832961,39.2073132393033,dem_two_party_vote_margin_2018
Model 1,cd_jumble27_26,198.7116245670805,108.94675226046738,1.8239334394476059,0.10618257655449861,-53.188909280578514,450.6121584147395,7.87975811119543,dem_two_party_vote_margin_2018
Model 2,(Intercept),62.95911048684904,19.539970436477002,3.2220678476215943,0.0028650710419178133,23.201764349951127,102.71645662374695,32.935074346002594,dem_two_party_vote_margin_2018
Model 2,Z,3.620607291284251,18.94736841476798,0.191087607103384,0.8489212460223396,-34.062112160078335,41.30332674264684,83.42428117043262,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2016_nona,0.7413258455784884,0.039486246930920656,18.774279735306404,4.6170511414294916e-24,0.6619809496253555,0.8206707415316212,49.13926746305691,dem_two_party_vote_margin_2018
Model 2,vote_2016_missingTRUE,-76.7963789727275,68.68414808349735,-1.1181092161086186,0.28303663232934073,-224.63313609499022,71.04037814953523,13.490277162073959,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2014_nona,0.05233368659984412,0.03855225381427617,1.357474114275119,0.18860013807735626,-0.027689245701335963,0.1323566189010242,21.670920815763836,dem_two_party_vote_margin_2018
Model 2,vote_2014_missingTRUE,10.242131517744706,18.08200430844908,0.5664267822875654,0.573925442535195,-26.179560179297344,46.66382321478676,44.880993665968205,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2012_nona,0.025095529984432385,0.05373755508239445,0.4670017075759036,0.6436999643836634,-0.08441483282854982,0.13460589279741458,31.627775395888104,dem_two_party_vote_margin_2018
Model 2,vote_2012_missingTRUE,30.59493232744013,19.24237874391625,1.5899766205939143,0.1159896806383787,-7.729298552104201,68.91916320698446,76.03530905139255,dem_two_party_vote_margin_2018
Model 2,cd_jumble15_16,57.4374611278429,57.47862460927885,0.9992838471394233,0.4096961111879562,-158.75024505015386,273.6251673058397,2.335664146291395,dem_two_party_vote_margin_2018
Model 2,cd_jumble16,44.75953270568222,24.624186195367287,1.817706069575738,0.07408140341436784,-4.491856338236801,94.01092174960124,60.25678864582127,dem_two_party_vote_margin_2018
Model 2,cd_jumble26,48.31998328306283,26.2975522070255,1.8374327352852995,0.07416397196762056,-4.958705992616558,101.59867255874222,37.10755806987938,dem_two_party_vote_margin_2018
Model 2,cd_jumble26_27,21.677309869057474,53.767796105144186,0.4031653041286458,0.6973189027250968,-102.16982375222051,145.52444349033547,8.052898727578192,dem_two_party_vote_margin_2018
Model 2,cd_jumble27,23.802350380988422,28.553780670691253,0.8335971567302858,0.4085051369185221,-33.561283542843555,81.1659843048204,49.59253633271633,dem_two_party_vote_margin_2018
Model 2,cd_jumble27_26,48.18536112286374,35.92376446393017,1.3413227105206367,0.20519882133858855,-30.282510364312984,126.65323261004046,11.73469992024234,dem_two_party_vote_margin_2018
Model 3,(Intercept),-127.86061730376052,64.25148422911361,-1.990002547611567,0.05513833932247509,-258.70486878049053,2.983634172969502,32.19915188951837,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_1,31.94489326114893,53.246071085433805,0.5999483644510233,0.5512870057448302,-75.03923179415264,138.9290183164505,49.32555752260174,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_2,71.72008423122978,80.34377407240518,0.8926651138717506,0.3765728612538506,-89.89985653229479,233.34002499475434,47.120216242808716,dem_two_party_vote_margin_2018
Model 3,cd_jumble15_16,145.34378024201936,127.18425303437958,1.1427812545530383,0.3592120625631025,-343.6974815172587,634.3850420012975,2.2717833845660365,dem_two_party_vote_margin_2018
Model 3,cd_jumble16,-78.29074206151495,81.25643183113344,-0.9635020920463039,0.33921157243292277,-240.87006859008113,84.28858446705124,59.25113329214265,dem_two_party_vote_margin_2018
Model 3,cd_jumble26,146.78389689673813,96.3968234685295,1.5227047076365374,0.13821753178309923,-50.015229258473966,343.58302305195025,30.254612320933134,dem_two_party_vote_margin_2018
Model 3,cd_jumble26_27,-10.131351573883661,162.8850279914261,-0.06219940346154437,0.9523106472028142,-403.17562433411445,382.91292118634715,6.368277469820748,dem_two_party_vote_margin_2018
Model 3,cd_jumble27,140.4815789492982,78.88933571624476,1.780742323076381,0.08276225116119545,-19.098238256209385,300.06139615480583,38.9155347934647,dem_two_party_vote_margin_2018
Model 3,cd_jumble27_26,201.33170788276203,105.49752049016871,1.908402272843219,0.09364471679551405,-42.97357619537445,445.6369919608985,7.811157062294956,dem_two_party_vote_margin_2018
Model 4,(Intercept),61.79964164400448,19.74643110651501,3.129661320096202,0.0036574218886741496,21.61940011924346,101.9798831687655,32.87453755854785,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_1,-21.367516584053426,22.61607513395567,-0.9447933143789542,0.3493706213938934,-66.80888383318148,24.07385066507463,49.31479999184445,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_2,26.631009953546908,22.7883889158653,1.1686218824800891,0.24832210882571118,-19.187041788105276,72.44906169519909,48.04363625141525,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2016_nona,0.7435726271263935,0.03913650838016356,18.999462596496606,3.373306918839338e-24,0.6649174678367593,0.8222277864160277,48.81839260947023,dem_two_party_vote_margin_2018
Model 4,vote_2016_missingTRUE,-73.27030781181381,64.04688539583883,-1.1440104754348326,0.2725628541045864,-211.15994237719087,64.61932675356326,13.456111507080617,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2014_nona,0.049856566253789564,0.03844963514553658,1.2966720247169148,0.20840404192644726,-0.029961145040494117,0.12967427754807326,21.635099633149668,dem_two_party_vote_margin_2018
Model 4,vote_2014_missingTRUE,15.215582450715301,18.499234562402965,0.822497947111757,0.4150736951824885,-22.030201275864584,52.46136617729519,45.602729393835915,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2012_nona,0.022300578854045544,0.05432454302875536,0.4105065153008518,0.6841841449321268,-0.08837711611509665,0.13297827382318772,31.837009806747137,dem_two_party_vote_margin_2018
Model 4,vote_2012_missingTRUE,26.690404229080627,19.453206928521585,1.372031065476825,0.17411751069755751,-12.058276020143502,65.43908447830475,75.48672520902232,dem_two_party_vote_margin_2018
Model 4,cd_jumble15_16,48.44374781283987,56.76185357973743,0.8534560582097177,0.4703892170647094,-161.39802642862745,258.2855220543072,2.388533503580193,dem_two_party_vote_margin_2018
Model 4,cd_jumble16,52.54111430320631,23.67310645819831,2.2194431641653276,0.030260648977632497,5.1847397946431215,99.89748881176949,59.808957642050196,dem_two_party_vote_margin_2018
Model 4,cd_jumble26,49.649990539196786,25.224740078777618,1.9683053377017317,0.05656902344416545,-1.4622391924482017,100.76222027084177,36.95605615902807,dem_two_party_vote_margin_2018
Model 4,cd_jumble26_27,17.882551915974524,59.39516001829365,0.3010775947142278,0.7709270105752656,-118.7501944586945,154.51529829064353,8.113481233624068,dem_two_party_vote_margin_2018
Model 4,cd_jumble27,27.319353808804973,27.86965925862849,0.9802543172588971,0.33177068233964435,-28.685285462006657,83.3239930796166,49.05325128739947,dem_two_party_vote_margin_2018
Model 4,cd_jumble27_26,51.67664918290649,33.19034740046513,1.556978255135175,0.14598498553966407,-20.80911941837404,124.16241778418701,11.751147691362098,dem_two_party_vote_margin_2018
