model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),-408.75117993409447,183.9856511174464,-2.221647054819346,0.0273849519157766,-771.4668692174414,-46.03549065074759,208,dem_two_party_vote_margin_2018
Model 1,Z,68.59196024679093,269.40973755205994,0.25460089479333103,0.7992829051910327,-462.53173370618174,599.7156541997635,208,dem_two_party_vote_margin_2018
Model 2,(Intercept),203.080730347222,136.30517374812646,1.4898974467578738,0.1378032595399242,-65.67474987504457,471.83621056948857,203,dem_two_party_vote_margin_2018
Model 2,Z,-77.26722783851457,156.34892143047512,-0.49419738320915496,0.6217011314090435,-385.54334315991355,231.00888748288443,203,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2016_nona,0.5250891978225497,0.05498361074675939,9.549922071160037,4.3737075638625684e-18,0.4166769761565866,0.6335014194885128,203,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2014_nona,0.1688845672219352,0.05667978535909879,2.97962608983,0.003238090823578351,0.05712796610253737,0.280641168341333,203,dem_two_party_vote_margin_2018
Model 2,vote_2014_missingTRUE,-255.94672073966703,113.49453122133885,-2.2551458469881305,0.025191248287057644,-479.72602714630443,-32.1674143330296,203,dem_two_party_vote_margin_2018
Model 2,dem_two_party_vote_margin_2012_nona,-0.25902955989102183,0.11754444771514275,-2.2036732906241063,0.028671685766743896,-0.49079416298319545,-0.027264956798848244,203,dem_two_party_vote_margin_2018
Model 2,vote_2012_missingTRUE,91.8169902456866,136.47581498844275,0.6727711444951765,0.5018580067409273,-177.27494652643674,360.90892701780996,203,dem_two_party_vote_margin_2018
Model 3,(Intercept),-408.7511799340945,183.98565111744645,-2.2216470548193454,0.02739018639348287,-771.4771233535953,-46.025236514593814,207,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_1,9.34382726443521,275.9061329158996,0.03386596436144952,0.9730166671770951,-534.6024628365319,553.2901173654022,207,dem_two_party_vote_margin_2018
Model 3,treatmentvideo_2,127.84009322914687,384.5197385131535,0.3324669202248866,0.7398731486000653,-630.2368767328742,885.9170631911679,207,dem_two_party_vote_margin_2018
Model 4,(Intercept),201.20601158865384,136.3444766887427,1.4757180963625087,0.14157664145411925,-67.6349440708733,470.046967248181,202,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_1,-132.28417994945687,177.3082762231606,-0.746068839916777,0.45649317779272636,-481.8966291211042,217.32826922219044,202,dem_two_party_vote_margin_2018
Model 4,treatmentvideo_2,-23.55872275403127,211.41213868011167,-0.11143505241048643,0.9113820126940365,-440.4163966481906,393.298951140128,202,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2016_nona,0.5241871734251375,0.055402798069666866,9.461384473145067,8.123470687739583e-18,0.41494518914393036,0.6334291577063447,202,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2014_nona,0.17034947014758406,0.05764661448586585,2.955064606428039,0.0034974946518463662,0.05668317940156446,0.28401576089360364,202,dem_two_party_vote_margin_2018
Model 4,vote_2014_missingTRUE,-246.79784802647998,130.50835919840395,-1.8910501177268513,0.060048860954943654,-504.13127920428025,10.535583151320282,202,dem_two_party_vote_margin_2018
Model 4,dem_two_party_vote_margin_2012_nona,-0.25874887316834416,0.11727420394507204,-2.2063579582218686,0.02848592347845251,-0.489987496312413,-0.02751025002427529,202,dem_two_party_vote_margin_2018
Model 4,vote_2012_missingTRUE,112.05156975887533,139.77639454565124,0.801648734202248,0.4236981843687214,-163.5563639169492,387.6595034346999,202,dem_two_party_vote_margin_2018
