model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),7811.48980366216,701.0553990176663,11.142471500266291,6.484330243704166e-23,6429.404892495997,9193.574714828323,208,two_party_vote_total_2018
Model 1,Z,-89.82885631182347,953.4329157462817,-0.0942162315022569,0.9250280873921107,-1969.4595509880508,1789.8018383644037,208,two_party_vote_total_2018
Model 2,(Intercept),2332.4258026051357,1138.718793451304,2.0482895478837806,0.04181874722857056,87.1924944576399,4577.659110752631,203,two_party_vote_total_2018
Model 2,Z,195.6585496839684,526.4416784228432,0.37166234685319405,0.7105319039447886,-842.3364302790865,1233.6535296470233,203,two_party_vote_total_2018
Model 2,two_party_vote_total_2016_nona,0.5533053474028331,0.0734560990682481,7.532462987025173,1.6077039980236805e-12,0.40847057233536976,0.6981401224702964,203,two_party_vote_total_2018
Model 2,two_party_vote_total_2014_nona,0.30271929986186613,0.08404990677978331,3.6016613397919888,3.975699120751266e-4,0.13699651445257136,0.46844208527116094,203,two_party_vote_total_2018
Model 2,vote_2014_missingTRUE,-711.4928004370296,393.19010202410465,-1.8095389400046782,0.07184647485895024,-1486.753135627224,63.76753475316491,203,two_party_vote_total_2018
Model 2,two_party_vote_total_2012_nona,-0.4790065195335008,0.136105071533671,-3.5193877357832295,5.33867313950905e-4,-0.7473674544479063,-0.21064558461909538,203,two_party_vote_total_2018
Model 2,vote_2012_missingTRUE,-1718.2381395037416,865.2702595465175,-1.9857820380932298,0.04840332469404116,-3424.3078192664725,-12.168459741010565,203,two_party_vote_total_2018
Model 3,(Intercept),7811.48980366216,701.0553990176669,11.142471500266282,6.804554254494303e-23,6429.365820332111,9193.61378699221,207,two_party_vote_total_2018
Model 3,treatmentvideo_1,-439.0957478018704,1125.3363245077278,-0.3901906818781047,0.6967967636120419,-2657.6854991881537,1779.494003584413,207,two_party_vote_total_2018
Model 3,treatmentvideo_2,259.4380351782236,1182.4407478854894,0.21940890961527337,0.8265477307210191,-2071.7325382304407,2590.6086085868883,207,two_party_vote_total_2018
Model 4,(Intercept),2292.1031846266756,1112.1092540903715,2.0610413735847004,0.04057998902189109,99.27130812907217,4484.935061124279,202,two_party_vote_total_2018
Model 4,treatmentvideo_1,1018.5754262765699,685.7638188243877,1.4853152037427766,0.13901927041570517,-333.5981629062844,2370.7490154594243,202,two_party_vote_total_2018
Model 4,treatmentvideo_2,-590.521797449917,631.3777433267358,-0.9352908044215364,0.3507552036957956,-1835.4581529255465,654.4145580257126,202,two_party_vote_total_2018
Model 4,two_party_vote_total_2016_nona,0.5594384154335401,0.0715701663811136,7.816642656026692,2.9328482946259644e-13,0.4183179799461921,0.7005588509208882,202,two_party_vote_total_2018
Model 4,two_party_vote_total_2014_nona,0.30618212578198545,0.08168366372642803,3.7483887452384548,2.3230177367842585e-4,0.14512012494922646,0.46724412661474446,202,two_party_vote_total_2018
Model 4,vote_2014_missingTRUE,-810.513394342392,664.3379748983781,-1.2200317082075187,0.22387530171536282,-2120.4399890244717,499.41320033968793,202,two_party_vote_total_2018
Model 4,two_party_vote_total_2012_nona,-0.48517934642704397,0.13444146949665312,-3.6088518538479852,3.877874344114073e-4,-0.7502679955423446,-0.22009069731174336,202,two_party_vote_total_2018
Model 4,vote_2012_missingTRUE,-1990.362756011059,924.3390055869835,-2.1532822308489705,0.032481538789755404,-3812.9535029958183,-167.77200902629966,202,two_party_vote_total_2018
