model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 1,(Intercept),0.46518626011797143,0.009885637914354995,47.056777129422436,7.582615118842847e-113,0.44569737091203027,0.4846751493239126,208,dem_two_party_share_2018
Model 1,Z,0.009854588133453555,0.014480343363474068,0.6805493409991406,0.4969135315803702,-0.01869246264057276,0.03840163890747987,208,dem_two_party_share_2018
Model 2,(Intercept),0.11010815084606322,0.02096130291859382,5.2529249385729395,3.7688301273267555e-7,0.06877835479311983,0.1514379468990066,203,dem_two_party_share_2018
Model 2,Z,0.001494794878072004,0.008797542838185714,0.16991049723382426,0.8652497336069385,-0.015851486156143412,0.01884107591228742,203,dem_two_party_share_2018
Model 2,dem_two_party_share_2016_nona,0.7450760178089098,0.05930020566660334,12.564476116623679,3.670520279005374e-27,0.6281526845783088,0.8619993510395108,203,dem_two_party_share_2018
Model 2,dem_two_party_share_2014_nona,0.04760123440115654,0.023477268857601947,2.0275456523446187,0.04391376208484479,0.001310660884178784,0.09389180791813428,203,dem_two_party_share_2018
Model 2,vote_2014_missingTRUE,4.818393382452939,2.342857278617672,2.0566312026039753,0.0410006398879409,0.19893752694268763,9.43784923796319,203,dem_two_party_share_2018
Model 2,dem_two_party_share_2012_nona,-0.0031151058470147808,0.0443734133952114,-0.07020207842182703,0.944101928156837,-0.09060700140901368,0.08437678971498411,203,dem_two_party_share_2018
Model 2,vote_2012_missingTRUE,-0.2793522535324615,4.417544161895071,-0.06323700302582214,0.9496400024897946,-8.989507341460653,8.43080283439573,203,dem_two_party_share_2018
Model 3,(Intercept),0.46518626011797143,0.009885637914355004,47.05677712942239,1.6435952488488683e-112,0.4456968199523411,0.48467570028360174,207,dem_two_party_share_2018
Model 3,treatmentvideo_1,0.01671408460282777,0.01784546092514657,0.9366014513682556,0.35005502672515054,-0.018468070149542604,0.051896239355198145,207,dem_two_party_share_2018
Model 3,treatmentvideo_2,0.0029950916640793536,0.018091585054304898,0.16555164487186105,0.8686713756091287,-0.032672294444133373,0.03866247777229208,207,dem_two_party_share_2018
Model 4,(Intercept),0.10968930043088812,0.020875429462893266,5.254469165574021,3.756881696831243e-7,0.06852760072068163,0.1508510001410946,202,dem_two_party_share_2018
Model 4,treatmentvideo_1,0.005482479358447006,0.008550461737039033,0.6411910288654834,0.5221253909138803,-0.011377127723132617,0.02234208644002663,202,dem_two_party_share_2018
Model 4,treatmentvideo_2,-0.0024571188849507254,0.012780531518917318,-0.19225482768958238,0.8477357373128342,-0.02765748189801386,0.02274324412811241,202,dem_two_party_share_2018
Model 4,dem_two_party_share_2016_nona,0.7448686545920334,0.05921886215144508,12.578233142797,3.571311182062619e-27,0.6281022414559245,0.8616350677281424,202,dem_two_party_share_2018
Model 4,dem_two_party_share_2014_nona,0.046295021580780436,0.023815807901257955,1.9438778551087963,0.05329921511824566,-6.644498365648011e-4,0.09325449299812567,202,dem_two_party_share_2018
Model 4,vote_2014_missingTRUE,4.687642899892755,2.376594606531617,1.9724200698805185,0.04992607971510991,0.0015274022050455471,9.373758397580465,202,dem_two_party_share_2018
Model 4,dem_two_party_share_2012_nona,-6.335835885140954e-4,0.045254836096739734,-0.0140003509715449,0.9888435188537503,-0.08986604595101251,0.08859887877398433,202,dem_two_party_share_2018
Model 4,vote_2012_missingTRUE,-0.03370489159453509,4.504733886813676,-0.00748210492371071,0.9940375837410782,-8.916037293570273,8.848627510381203,202,dem_two_party_share_2018
