file,directory_label,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
replication_archive/.Rapp.history,replication_archive,5707340,,130,7e6e2b52059ba14b9dfcc04976cf1cea,7e6e2b52059ba14b9dfcc04976cf1cea,,.Rapp.history
replication_archive/CGP_2022_bayesian_learning.R,replication_archive,5707331,,4289,a9f4b4868d16d383b69ee7361e74a386,a9f4b4868d16d383b69ee7361e74a386,,CGP_2022_bayesian_learning.R
replication_archive/CGP_2022_design_diagnosis.R,replication_archive,5707336,,5508,07655a0c28238ed016fa24e496336df6,07655a0c28238ed016fa24e496336df6,,CGP_2022_design_diagnosis.R
replication_archive/CGP_2022_design_tests.R,replication_archive,5707338,,2680,388bd56086b266f815059ec2e5c6a84b,388bd56086b266f815059ec2e5c6a84b,,CGP_2022_design_tests.R
replication_archive/CGP_2022_equivalence_tests.R,replication_archive,5707328,,3865,f99f17d30d6ccd8545f51dfc5586a1f5,f99f17d30d6ccd8545f51dfc5586a1f5,,CGP_2022_equivalence_tests.R
replication_archive/CGP_2022_in_text_calculations.R,replication_archive,5707334,,1015,01d10ca7e8dcc36e650734f54234c7f9,01d10ca7e8dcc36e650734f54234c7f9,,CGP_2022_in_text_calculations.R
replication_archive/CGP_2022_precinct_level.rds,replication_archive,5707335,,606915,19fd2ffe470b63f527bfe766529d461b,19fd2ffe470b63f527bfe766529d461b,,CGP_2022_precinct_level.rds
replication_archive/CGP_2022_precinct_level_analysis.R,replication_archive,5707337,,5584,67ce155989690cc5c5c50be1164024f2,67ce155989690cc5c5c50be1164024f2,,CGP_2022_precinct_level_analysis.R
replication_archive/CGP_2022_precinct_level_analysis_CD.R,replication_archive,5707332,,6287,7a32b16b315f0db205409425285828e8,7a32b16b315f0db205409425285828e8,,CGP_2022_precinct_level_analysis_CD.R
replication_archive/CGP_2022_precinct_level_randomization_inference.R,replication_archive,5707333,,3595,bca9257dd7a7cbf4ab4f51d83cea857c,bca9257dd7a7cbf4ab4f51d83cea857c,,CGP_2022_precinct_level_randomization_inference.R
replication_archive/CGP_2022_zip_code_level.rds,replication_archive,5707329,,98425,4cf7b02ad2e6a357897419e6f4f46451,4cf7b02ad2e6a357897419e6f4f46451,,CGP_2022_zip_code_level.rds
replication_archive/CGP_2022_zip_code_level_analysis.R,replication_archive,5707327,,5126,715c3569b95ccf1df5823bedd4480593,715c3569b95ccf1df5823bedd4480593,,CGP_2022_zip_code_level_analysis.R
replication_archive/README.txt,replication_archive,5707339,,3216,e27bd42ab062c8db25929c7f092024bf,e27bd42ab062c8db25929c7f092024bf,,README.txt
replication_archive/logfile.html,replication_archive,5707330,,1138158,9f90b60403bc0ebb013f80ca79bb3584,9f90b60403bc0ebb013f80ca79bb3584,,logfile.html
